"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","elapsed.time","xCH4","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"I3","17112018",4.86111111110949,"0910",160,NA,183.176,183.1627,37.58,27.87,0.425821237585943,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.574178762414057,79.961,30,1050,0.0152999999999963,0.103700000000003,11.8946294422288,6.84235831710996,83.2389595342164,38.3736937766291,11.3057864005343,6.50362770735204,"grav"
"I3","18112018",5.85902777777665,"0907",140,NA,183.164,183.155,40.45,28.29,0.411550771021239,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.588449228978761,79.961,30,1050,0.00769999999999982,0.111400000000003,6.07095924782984,3.57887881030439,89.3099187820463,41.9525725869335,6.08363348425537,3.58635037358268,"grav"
"I3","19112018",6.8395833333343,"0839",134,NA,183.1519,183.1415,42.77,28.84,0.402737047898338,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.597262952101662,79.961,30,1050,0.0134999999999934,0.124899999999997,10.7377972265072,6.42457965350753,100.047716008553,48.377152240441,10.9507280496957,6.551979250036,"grav"
"I3","21112018",8.91666666666424,"1030",206,NA,183.1454,183.1298,48.69,29.61,0.37816091954023,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.62183908045977,79.961,30,1050,0.0117000000000189,0.136600000000016,9.54077015969143,5.94263057014751,109.588486168245,54.3197828105885,4.59334972582938,2.86104581110412,"grav"
"I3","23112018",10.878472222219,"0935",182,NA,183.1316,183.1208,50.36,29.16,0.366700201207244,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.633299798792757,79.961,30,1050,0.00899999999998613,0.145600000000002,7.42637405265069,4.7106593644335,117.014860220896,59.030442175022,3.78547916312106,2.40118565833071,"grav"
"I3","25112018",13.125,"1530",190,NA,183.1197,183.1045,52.35,29.82,0.362906170135086,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.637093829864914,79.961,30,1050,0.0163000000000011,0.161900000000003,13.5031712057605,8.61643273298308,130.518031426656,67.6468749080051,6.01068517350701,3.83544455502183,"grav"
"I3","28112018",15.8541666666642,"0900",180,NA,183.102,183.0891,54.407568,30.636952,0.36024604524783,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.63975395475217,79.961,30,1050,0.0153999999999996,0.177300000000002,12.7930632731987,8.19729956554862,143.311094699855,75.8441744735537,4.6875346344545,3.00359068050637,"grav"
"I3","01122018",18.909722222219,"1020",182,NA,183.0873,183.0746,55.46,30.39,0.353989516598719,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.646010483401281,79.961,30,1050,0.0144999999999982,0.191800000000001,12.1246901558618,7.84479534529629,155.435784855717,83.68896981885,3.96808041464568,2.56738756755151,"grav"
"I3","05122018",22.8611111111095,"0910",188,NA,183.0696,183.0562,57.55,31.26,0.351987388807567,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.648012611192433,79.961,30,1050,0.018400000000014,0.210200000000015,15.4182838863489,10.0066128783126,170.854068742065,93.6955826971626,3.90199100111466,2.53242926973114,"grav"
"I3","09122018",27.1458333333285,"1600",198,NA,183.0548,183.04,59.07,31.43,0.347292817679558,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.652707182320442,79.961,30,1050,0.0161999999999978,0.226400000000012,13.6422995357867,8.91794243684159,184.496368277852,102.613525134004,3.1839402482225,2.08133502577826,"grav"
