"method","elapsed.time","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes.setup","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se","leak.l"
"gd05",31.75764,"C1","IIS-BMP2","FIC","Substrate C","SC",322.03,142.25,2.12,468.51,468.52,468.515,7.07106781185904,2.11500000000001,802.16,22.3,1.7005792,3.172175,1.86534975848229,520,375.63,NA,564.18769068503,1.54037173943255,0.0583355397106974,4,7.57421578406616,693.03666163227,128.84897094724,0.185919415350653,4.87964954754634,0,FALSE
"gd05",31.75764,"C2","IIS-BMP2","FIC","Substrate C","SC",321.69,146.13,2.14,471.9,471.9,471.9,0,1.94,802.16,22.3,1.7166224,3.258699,1.89832021299501,520,371.73,NA,573.234815811223,1.54037173943255,0.0583355397106974,4,7.57421578406616,704.361219779433,131.12640396821,0.186163576707519,4.96589839321928,0,FALSE
"gd05",31.75764,"C3","IIS-BMP2","FIC","Substrate C","SC",321.78,142.2,2.18,468.3,468.3,468.3,0,2.14000000000004,802.16,22.3,1.7487088,3.17106,1.81337224356622,520,375.62,NA,542.059446549407,1.54037173943255,0.0583355397106974,4,7.57421578406616,667.318072426574,125.258625877167,0.187704531096674,4.74367930604637,0,FALSE
"gd05",31.75764,"D1","IIS-BMP2","LBD","Substrate D","SD",322.24,143.09,3.79,471.15,471.15,471.15,0,2.02999999999992,861.15,22.3,3.2637585,3.190907,0.977678648711294,520,373.12,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",330.436546537379,1.54037173943255,0.0583355397106974,4,7.57421578406616,397.969665852243,67.5331193148647,0.169694137793754,2.55755209130936,0,FALSE
"gd05",31.75764,"D2","IIS-BMP2","LBD","Substrate D","SD",323.34,142.92,3.78,472.1,472.1,472.1,0,2.06000000000006,861.15,22.3,3.255147,3.187116,0.979100483019661,520,373.3,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",328.736425300179,1.54037173943255,0.0583355397106974,4,7.57421578406616,396.367757771401,67.6313324712219,0.170627734333092,2.56127152950477,0,FALSE
"gd05",31.75764,"D3","IIS-BMP2","LBD","Substrate D","SD",321.89,144.13,3.78,472.51,472.51,472.51,0,2.71000000000004,861.15,22.3,3.255147,3.214099,0.987389816803972,520,372.09,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",342.77845696877,1.54037173943255,0.0583355397106974,4,7.57421578406616,410.982374888426,68.2039179196558,0.165953388969957,2.58295595821105,0,FALSE
"gd06",31.75764,"L1","IIS-BMP2","Cellulose","Cellulose","CEL",321.75,142.37,1.6,467.77,467.75,467.76,14.1421356237181,2.03999999999996,989.19,22.3,1.582704,3.174851,2.00596637147565,520,376.03,NA,421.331322300252,1.68724290493417,0.0400475753488909,4,4.74710253417286,573.104978255805,151.773655955553,0.264826971870778,3.60242553403643,0,FALSE
"gd06",31.75764,"L2","IIS-BMP2","Cellulose","Cellulose","CEL",322.04,142.8,1.62,468.51,468.5,468.505,7.07106781185904,2.04499999999996,989.19,22.3,1.6024878,3.18444,1.98718517545032,520,375.58,NA,433.231707667628,1.68724290493417,0.0400475753488909,4,4.74710253417286,583.584357356817,150.352649689189,0.257636531537908,3.56869722179577,0,FALSE
"gd06",31.75764,"L3","IIS-BMP2","Cellulose","Cellulose","CEL",321.59,145.19,1.64,470.55,470.55,470.55,0,2.13000000000005,989.19,22.3,1.6222716,3.237737,1.99580452496364,520,373.17,NA,430.990211981442,1.68724290493417,0.0400475753488909,4,4.74710253417286,581.995011281012,151.00479929957,0.259460642054642,3.58417632713626,0,FALSE
"gd06",31.75764,"C1","IIS-BMP2","FIC","Substrate C","SC",322.03,142.25,2.12,468.51,468.52,468.515,7.07106781185904,2.11500000000001,802.16,22.3,1.7005792,3.172175,1.86534975848229,520,375.63,NA,550.240375209217,1.68724290493417,0.0400475753488909,4,4.74710253417286,691.374821183204,141.134445973987,0.204135935602127,3.34989843071098,0,FALSE
