"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"D1","08.10.2018",10.8388888888889,"IIS-BMP2","11.43",20.4,1007.72,469.09,185,468.86,NA,2022-10-09 11:43:00,10.8388888888439,2018-10-08 11:43:00,2018-09-27 15:35:00,0.229999999999961,0.229999999999961,0,2.28999999999996,2.24999999999989,0.0400000000000773,0.6,373.12,0.229999999999961,2.28999999999996,185.561086565361,111.531335839656,1836.29309828404,1103.70243048033,116.026037626626,69.7373528480699,"grav"
"D1","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,468.87,221,468.59,NA,2022-10-12 12:17:00,13.8625000000466,2018-10-11 12:13:00,2018-09-27 15:35:00,0.270000000000039,0.28000000000003,-0.00999999999999091,2.56,2.52999999999992,0.0300000000000864,0.6,373.12,0.270000000000039,2.56,217.815894235413,130.91806100536,2054.10899251945,1234.62049148569,72.1045718848264,43.338392608671,"grav"
"D1","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,468.58,200,468.34,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,0.25,0.240000000000009,0.00999999999999091,2.81,2.76999999999992,0.0400000000000773,0.6,373.12,0.25,2.81,201.751698840181,121.262689802366,2255.86069135963,1355.88318128805,46.0488898921955,27.6776467451906,"grav"
"D1","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,468.35,107,468.21,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,0.129999999999995,0.140000000000043,-0.0100000000000477,2.94,2.90999999999997,0.0300000000000296,0.6,373.12,0.129999999999995,2.94,104.887925982238,63.0428001623577,2360.74861734187,1418.92598145041,29.4651996516627,17.710033600038,"grav"
"D1","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,468.14,60,468.07,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,0.139999999999986,0.0699999999999932,0.0699999999999932,3.07999999999998,2.97999999999996,0.100000000000023,0.6,373.12,0.139999999999986,3.07999999999998,112.907828436809,67.8631558232249,2473.65644577868,1486.78913727364,18.39222544672,11.0546317178104,"grav"
"D1","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,468.04,46,467.98,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,0.089999999999975,0.0600000000000023,0.0299999999999727,3.16999999999996,3.03999999999996,0.129999999999995,0.6,373.12,0.089999999999975,3.16999999999996,72.6426806593242,43.6618224374009,2546.299126438,1530.45095971104,19.0260931519511,11.4356173717456,"grav"
"D1","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,467.95,125,467.82,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,0.160000000000025,0.129999999999995,0.0300000000000296,3.32999999999998,3.16999999999996,0.160000000000025,0.6,373.12,0.160000000000025,3.32999999999998,128.922151033841,77.4885510225844,2675.22127747184,1607.93951073362,7.09093989873309,4.26200349385133,"grav"
"D1","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,467.79,133,467.63,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,0.189999999999998,0.160000000000025,0.0299999999999727,3.51999999999998,3.32999999999998,0.189999999999998,0.6,373.12,0.189999999999998,3.51999999999998,153.139067045625,92.0441081315888,2828.36034451747,1699.98361886521,4.95651382404756,2.97910848732301,"grav"
"D1","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,467.58,145,467.42,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,0.20999999999998,0.159999999999968,0.0500000000000114,3.72999999999996,3.48999999999995,0.240000000000009,0.6,373.12,0.20999999999998,3.72999999999996,169.128253296573,101.654395151164,2997.48859781404,1801.63801401637,3.44710248467227,2.07187806456542,"grav"
"D2","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,472.1,0,472.1,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,0,0,0,0,0.6,373.3,0,0,0,0,0,0,NA,NA,"grav"
