"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","mass.drift","mass.init.orig","mass.final.orig","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak"
"C3","03.10.2018",5.68888888888889,"IIS-BMP2","08.07",20,1002.27,467,270,466.72,NA,2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,0.0200000000000387,466.98,466.7,"FIC",0.29000000000002,0.28000000000003,0.00999999999999091,1.57999999999998,1.53999999999996,0.0400000000000205
"C3","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,465.87,99,465.75,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,0.0900000000000318,465.78,465.66,"FIC",0.129999999999939,0.119999999999948,0.00999999999999091,2.54999999999995,2.40999999999997,0.139999999999986
"C3","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,466.72,151,466.56,NA,2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,0.0200000000000387,466.7,466.54,"FIC",0.159999999999968,0.159999999999968,0,1.73999999999995,1.69999999999993,0.0400000000000205
"C3","07.04.2019",191.815277777778,"IIS-BMP2","11.09",20.4,1004.06,465.7,75,465.61,NA,NA,NA,2019-04-07 11:09:00,2018-09-27 15:35:00,0.100000000000023,465.6,465.51,"FIC",0.140000000000043,0.0900000000000318,0.0500000000000114,2.69,2.5,0.189999999999998
"C3","08.10.2018",10.8388888888889,"IIS-BMP2","11.43",20.4,1007.72,466.56,102,466.45,NA,2022-10-09 11:43:00,10.8388888888439,2018-10-08 11:43:00,2018-09-27 15:35:00,0.0300000000000296,466.53,466.42,"FIC",0.110000000000014,0.109999999999957,5.6843418860808e-14,1.84999999999997,1.80999999999989,0.0400000000000773
"C3","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,466.45,75,466.36,NA,2022-10-12 12:16:00,13.8618055555417,2018-10-11 12:13:00,2018-09-27 15:35:00,0.0200000000000387,466.43,466.34,"FIC",0.0900000000000318,0.0900000000000318,0,1.94,1.89999999999992,0.0400000000000773
"C3","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,466.36,59,466.29,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,0.0300000000000296,466.33,466.26,"FIC",0.0699999999999932,0.0699999999999932,0,2.00999999999999,1.96999999999991,0.0400000000000773
"C3","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,466.1,81,466.01,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,0.0600000000000023,466.04,465.95,"FIC",0.100000000000023,0.0900000000000318,0.00999999999999091,2.29000000000002,2.18000000000001,0.110000000000014
"C3","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,465.99,104,465.88,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,0.0600000000000023,465.93,465.82,"FIC",0.129999999999995,0.110000000000014,0.0199999999999818,2.42000000000002,2.29000000000002,0.129999999999995
"C3","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,466.29,46,466.22,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,0.0200000000000387,466.27,466.2,"FIC",0.0699999999999932,0.0699999999999932,0,2.07999999999998,2.03999999999991,0.0400000000000773
"C3","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,466.18,30,466.16,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,0.0200000000000387,466.16,466.14,"FIC",0.0600000000000023,0.0200000000000387,0.0399999999999636,2.13999999999999,2.05999999999995,0.0800000000000409
"C3","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,468.3,0,468.3,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,468.3,468.3,"FIC",0,0,0,0,0,0
"C3","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,468.29,202,468.06,NA,2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.0100000000000477,468.28,468.05,"FIC",0.239999999999952,0.229999999999961,0.00999999999999091,0.239999999999952,0.229999999999961,0.00999999999999091
"C3","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,468.07,331,467.69,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,0.0300000000000296,468.04,467.66,"FIC",0.370000000000005,0.379999999999995,-0.00999999999999091,0.609999999999957,0.609999999999957,0
