"method","descrip","elapsed.time","mean","se","sd","n","rsd"
"gd06","Sludge C5",4.15138888888889,73.6463015084772,8.17966147863918,14.167589269717,3,19.2373397978257
"gd06","Sludge C5",5.14513888888889,92.0328763269098,10.7586018661065,18.6344450505018,3,20.2475960702461
"gd06","Sludge C5",5.93194444444444,107.158954756829,12.7506883527807,22.0848400584928,3,20.6094209379039
"gd06","Sludge C5",7.13194444444444,115.348076622478,13.706174670632,23.7397909069483,3,20.5810028238668
"gd06","Sludge C5",9.11111111111111,122.558940361747,14.7413263705607,25.532726244766,3,20.8330181130836
"gd06","Sludge C5",20.9194444444444,141.208241571398,17.0559879849171,29.5418377631607,3,20.9207603142793
"gd06","Sludge C5",30.96875,147.904151573639,18.6418858997309,32.2886935272358,3,21.8308229915776
"gd06","Sludge C5",50.8645833333333,158.64993085437,19.2138374980664,33.2793427550231,3,20.9765882504993
"gd06","Sludge C5",60.9166666666667,168.547460645849,24.6915468137267,42.76701359884,3,25.373870027447
"gd06","Sludge C6",0,0,0,0,3,NA
"gd06","Sludge C6",0.874305555555556,26.1679670558212,11.1083965285199,19.2403071780183,3,73.5261823624856
"gd06","Sludge C6",2.01388888888889,52.296699354648,21.8600633477427,37.8627403749645,3,72.3998662290326
"gd06","Sludge C6",2.85,73.9572991717965,30.3985956995537,52.6519122303718,3,71.1923134294911
"gd06","Sludge C6",4.15138888888889,104.197627863928,42.0942763374007,72.9094253242224,3,69.9722506345683
"gd06","Sludge C6",5.14513888888889,127.90746263981,51.1299026983491,88.5595892595936,3,69.2372340376882
"gd06","Sludge C6",5.93194444444444,147.218881618573,58.8915313406491,102.003124417539,3,69.2867132911776
"gd06","Sludge C6",7.13194444444444,160.011389035944,64.1440956475557,111.100832667124,3,69.4330780680663
"gd06","Sludge C6",9.11111111111111,169.934425388439,68.2195969977349,118.15980807195,3,69.5325904694462
"gd06","Sludge C6",15.2194444444444,184.830690226637,74.4921143751161,129.024126860933,3,69.8066574889295
"gd06","Sludge C6",20.9194444444444,196.199819332043,79.5760018151936,137.829678207109,3,70.2496458336945
"gd06","Sludge C6",30.96875,207.911716497736,84.7061978153595,146.715438332182,3,70.5662195491423
"gd06","Sludge C6",50.8645833333333,220.575630451424,89.9943239013899,155.874741390017,3,70.6672541617625
"gd06","Sludge C6",60.9166666666667,230.605960240284,95.1015765542448,164.720762471853,3,71.4295338681703
"gd07","Cellulose",0,0,0,0,3,NA
"gd07","Cellulose",0.874305555555556,-7.94870615690759,4.18149106360617,7.24255497356112,3,-91.1161493530263
"gd07","Cellulose",2.01388888888889,9.32406902122926,4.18499530853192,7.24862450381468,3,77.7410000645732
"gd07","Cellulose",2.85,69.0419677893737,6.60390647422158,11.4383015417848,3,16.5671719796279
"gd07","Cellulose",4.15138888888889,157.76568584199,16.9394606437015,29.3400064877045,3,18.5972040314836
"gd07","Cellulose",5.14513888888889,246.473750713967,27.9668301674622,48.4399707766945,3,19.6531965924879
"gd07","Cellulose",5.93194444444444,297.680687758264,28.7008125127317,49.7112654905599,3,16.6995265513928
"gd07","Cellulose",9.11111111111111,362.331399965636,53.5988800610423,92.8359834945156,3,25.6218432913406
"gd07","Cellulose",20.9194444444444,371.458846134196,59.3764230055051,102.842981417236,3,27.6862383242537
"gd07","Cellulose",60.9166666666667,372.991399035976,68.2124658075202,118.14745648818,3,31.6756517157073
"gd07","Ethanol",0,0,0,0,3,NA
"gd07","Ethanol",0.874305555555556,18.6816488910731,4.90613779037918,8.49767992187045,3,45.4867767369881
"gd07","Ethanol",2.01388888888889,52.7869552315739,16.1052149028626,27.8950504785736,3,52.8445907823236
"gd07","Ethanol",2.85,112.181578210728,22.2718053676634,38.5758984730782,3,34.3870170917146
