"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","xCH4c.gdv"
"C3-1","19022017",5,1613,"1559",221,112,0.4,401.34,401.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.240000000000009,0.21999999999997,0.0200000000000387,1.19499999999999,0.0550000000000068,1.13999999999999,199.451311221051,993.101320454773,0.63180598801608,"",126.217333173809,628.457138094564,200.705721983447,127.011152879305,0.63282277966036
"C3-1","20022017",6,1102,"1052",140,71.3,0.3,401.1,400.96,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.160000000000025,0.140000000000043,0.0199999999999818,1.35500000000002,0.0749999999999886,1.28000000000003,132.96754081405,1126.06886126882,0.63180598801608,"",84.1448887825493,712.602026877113,168.996697945482,106.944960147282,0.63282277966036
"C3-1","21022017",7,1550,"1540",85,43.9,0.3,400.93,400.82,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,20,30,101.325,150,0.139999999999986,0.110000000000014,0.0299999999999727,1.495,0.104999999999961,1.39000000000004,116.346598212264,1242.41545948109,0.63180598801608,"",73.626777684712,786.228804561825,96.95549851022,61.3556480705933,0.63282277966036
"C3-1","22022017",8,1718,"1709",55,27.7,0.2,400.83,400.76,NA,2017-02-22 17:09:00,2017-02-14 12:30:00,8.19375,20,30,101.325,150,0.0600000000000023,0.0699999999999932,-0.00999999999999091,1.55500000000001,0.0949999999999704,1.46000000000004,49.8628278052627,1292.27828728635,0.63180598801608,"",31.5543332934523,817.783137855277,46.9604133679387,29.7176193214985,0.63282277966036
"C3-1","26022017",12,1135,"1128",54,27.3,0.2,400.7,400.63,NA,2017-02-26 11:28:00,2017-02-14 12:30:00,11.9569444444444,20,30,101.325,150,0.129999999999995,0.0699999999999932,0.0600000000000023,1.685,0.154999999999973,1.53000000000003,108.036126911395,1400.31441419774,0.63180598801608,"",68.3677221358083,886.150859991085,28.7086220248032,18.1674699899546,0.63282277966036
"C3-1","07032017",21,1042,"1034",41,21.5,0.1,400.5,400.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444,20,30,101.325,150,0.180000000000007,0.0500000000000114,0.129999999999995,1.86500000000001,0.284999999999968,1.58000000000004,149.588483415788,1549.90289761353,0.63180598801608,"",94.6629998803568,980.813859871442,16.6904862946486,10.5621199308627,0.63282277966036
"C3-2","14022017",0,1230,"1230",0,0,0,404.115,404.115,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,20,30,101.325,150,0,0,0,0,0,0,0,0,0.675628132119076,"",0,0,NA,NA,NA
"C3-2","15022017",1,949,"0929",167,85.9,0.2,404.09,403.89,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.225000000000023,0.199999999999989,0.0250000000000341,0.225000000000023,0.0250000000000341,0.199999999999989,195.962043183386,195.962043183386,0.675628132119076,"",132.585146264669,132.585146264669,224.134505309035,151.646235600574,0.676585853621625
"C3-2","16022017",2,1303,"1250",215,109.7,0.5,403.88,403.62,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.269999999999982,0.259999999999991,0.00999999999999091,0.495000000000005,0.035000000000025,0.45999999999998,235.154451820023,431.116495003409,0.675628132119076,"",159.102175517576,291.687321782245,206.351255710441,139.614340490743,0.676585853621625
"C3-2","17022017",3,909,"0854",167,86.7,0.4,403.63,403.44,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.180000000000007,0.189999999999998,-0.00999999999999091,0.675000000000011,0.0250000000000341,0.649999999999977,156.769634546699,587.886129550107,0.675628132119076,"",106.068117011728,397.755438793973,187.498566235254,126.85887748911,0.676585853621626
"C3-2","18022017",4,1619,"1608",273,140.9,0.5,403.44,403.17,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.269999999999982,0.269999999999982,0,0.944999999999993,0.0250000000000341,0.919999999999959,235.154451820023,823.040581370131,0.675628132119076,"",159.102175517576,556.857614311549,180.694989658929,122.255673823537,0.676585853621626
