"id","elapsed.time","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temperature","pressure","vBg","cvBg","xCH4","vCH4","cvCH4","rvBg","rvCH4","method"
"A3",60.9166666666667,"16042017",61,1100,"1030",52,26.1,0.2,389.13,389.07,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.110000000000014,0.0600000000000023,0.0500000000000114,2.06999999999999,1.97999999999996,0.0900000000000318,20,101.325,47.3306112896471,1730.29792426191,0.577997851856574,27.3569916524746,1170.30986729466,4.70853749617215,2.72152455817364,"gd"
"B1",0,"14022017",0,1230,"1230",0,0,0,388.55,388.55,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,20,101.325,0,0,0,0,0,NA,NA,"gd"
"B1",0.874305555555556,"15022017",1,1023,"0929",183,90.1,0.2,388.53,388.31,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.240000000000009,0.21999999999997,0.0200000000000387,0.240000000000009,0.21999999999997,0.0200000000000387,20,101.325,166.567343577027,166.567343577027,0.535652272364473,89.2221760887487,89.2221760887487,190.513879865703,102.049192667036,"gd"
"B1",2.01388888888889,"16022017",2,1331,"1250",211,102.7,0.3,388.31,388.06,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.25,0.25,0,0.490000000000009,0.46999999999997,0.0200000000000387,20,101.325,192.053057348376,358.620400925403,0.550852354679508,105.792878863751,195.0150549525,168.529191091811,92.8347017451567,"gd"
"B1",2.85,"17022017",3,937,"0854",169,82.6,0.3,388.06,387.87,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.189999999999998,0.189999999999998,0,0.680000000000007,0.659999999999968,0.0200000000000387,20,101.325,153.824486691353,512.444887616756,0.603915045994041,92.8969219552182,287.911976907718,183.976130262083,111.105953169032,"gd"
"B1",4.15138888888889,"18022017",4,1650,"1608",260,125.5,0.2,387.86,387.59,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.28000000000003,0.270000000000039,0.00999999999999091,0.960000000000036,0.930000000000007,0.0300000000000296,20,101.325,236.653056448236,749.097944064992,0.679074908992405,160.70515277036,448.617129678078,181.846532169402,123.487417283521,"gd"
"B1",5.14513888888889,"19022017",5,1638,"1559",222,106.4,0.3,387.6,387.39,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.199999999999989,0.210000000000036,-0.0100000000000477,1.16000000000003,1.14000000000004,0.0199999999999818,20,101.325,202.065302044263,951.163246109255,0.760118675524799,153.593609759403,602.210739437482,203.336153000516,154.55960730506,"gd"
"B1",5.93194444444444,"20022017",6,1126,"1052",114,54.6,0.2,387.39,387.25,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.139999999999986,0.139999999999986,0,1.30000000000001,1.28000000000003,0.0199999999999818,20,101.325,103.763263211919,1054.92650932117,0.512977522704954,53.2282217102321,655.438961147714,131.879169483815,67.6510496581944,"gd"
"B1",7.13194444444444,"21022017",7,1609,"1540",84,39.9,0.2,387.3,387.19,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.0600000000000023,0.110000000000014,-0.0500000000000114,1.36000000000001,1.39000000000004,-0.0300000000000296,20,101.325,76.4571413140454,1131.38365063522,0.44162404460959,33.7653119863957,689.20427313411,63.7142844283711,28.1377599886631,"gd"
"B1",9.11111111111111,"23022017",9,1534,"1510",89,41.9,0.2,387.18,387.11,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.0799999999999841,0.0699999999999932,0.00999999999999091,1.44,1.46000000000004,-0.0200000000000387,20,101.325,81.0081616303576,1212.39181226558,0.899778745360555,72.8894220357282,762.093695169838,40.9304395606017,36.8283395548943,"gd"
