"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"B3","07032017",20.9194444444444,21,1108,"1034",110,50.8,0.3,383.83,383.74,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.120000000000005,0.089999999999975,0.0300000000000296,1.70999999999998,1.62,0.089999999999975,0.6798,197.794,20,101.325,100.122446958869,68.1584783396556,1399.89384929764,878.894530470236,17.5653415717314,11.957627778887,"vol"
"B3","17032017",30.96875,31,1228,"1145",64,26.6,0.3,383.67,383.59,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.150000000000034,0.0800000000000409,0.0699999999999932,1.86000000000001,1.70000000000005,0.159999999999968,0.6798,197.794,20,101.325,58.2530600487965,39.6558419430724,1458.14690934644,918.550372413308,5.7967249305692,3.94612759298073,"vol"
"B3","06042017",50.8645833333333,51,945,"0915",20,9.3,0.1,383.44,383.42,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.169999999999959,0.0199999999999818,0.149999999999977,2.02999999999997,1.72000000000003,0.309999999999945,0.6798,197.794,20,101.325,18.2040812652489,12.3924506072101,1476.35099061169,930.942823020518,0.914969529562248,0.6228666273781,"vol"
"B3","16042017",60.9166666666667,61,1103,"1030",49,23.3,0.2,383.37,383.31,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.110000000000014,0.0600000000000023,0.0500000000000114,2.13999999999999,1.78000000000003,0.359999999999957,0.6798,197.794,20,101.325,44.5999990998598,30.3615039876648,1520.95098971154,961.304327008183,4.43689110216222,3.02041904955007,"vol"
"C1-1","14022017",0,0,1230,"1230",0,0,0,409.53,409.53,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,0,175.154,20,101.325,0,0,0,0,NA,NA,"vol"
"C1-1","15022017",0.874305555555556,1,935,"0929",165,88.7,0.3,409.52,409.33,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.199999999999989,0.189999999999998,0.00999999999999091,0.199999999999989,0.189999999999998,0.00999999999999091,0.4528,175.154,20,101.325,150.183670438303,68.1659405845895,150.183670438303,68.1659405845895,171.774809714978,77.9658097234383,"vol"
"C1-1","16022017",2.01388888888889,2,1250,"1250",207,107.4,0.2,409.33,409.09,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.240000000000009,0.240000000000009,0,0.439999999999998,0.430000000000007,0.00999999999999091,0.5682,175.154,20,101.325,188.412241095326,107.257944202724,338.595911533629,175.423884787314,165.334324909975,94.1203166678385,"vol"
"C1-1","17022017",2.85,3,858,"0854",149,79.3,0.5,409.09,408.91,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.17999999999995,0.17999999999995,0,0.619999999999948,0.609999999999957,0.00999999999999091,0.5937,175.154,20,101.325,135.620405426104,80.6608500867764,474.216316959734,256.08473487409,162.203807154145,96.4714486087692,"vol"
"C1-1","18022017",4.15138888888889,4,1608,"1608",261,137.9,0.3,408.93,408.64,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.270000000000039,0.29000000000002,-0.0199999999999818,0.889999999999986,0.899999999999977,-0.00999999999999091,0.6846,175.154,20,101.325,237.563260511498,162.85996352549,711.779577471232,418.94469839958,182.545941908515,125.143195024923,"vol"
"C1-1","19022017",5.14513888888889,5,1559,"1559",233,124.6,0.4,408.64,408.41,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.229999999999961,0.229999999999961,0,1.11999999999995,1.12999999999994,-0.00999999999999091,0.7186,175.154,20,101.325,212.07754674015,152.586300576917,923.857124211381,571.530998976497,213.41136778883,153.545962844696,"vol"
"C1-1","20022017",5.93194444444444,6,1052,"1052",204,108.9,0.3,408.41,408.21,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.200000000000045,0.200000000000045,0,1.31999999999999,1.32999999999998,-0.00999999999999091,0.734,175.154,20,101.325,185.681628905539,136.448704317336,1109.53875311692,707.979703293833,235.994303286828,173.421124639862,"vol"
"C1-1","21022017",7.13194444444444,7,1540,"1540",261,139.1,0.5,408.22,407.97,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.239999999999952,0.25,-0.0100000000000477,1.55999999999995,1.57999999999998,-0.0200000000000387,0.733015179316097,175.154,20,101.325,237.563260511498,174.34059860262,1347.10201362842,882.320301896453,197.969383759582,145.28383216885,"vol"
"C1-1","22022017",8.19375,8,1709,"1709",118,62.1,0.4,407.98,407.87,NA,2017-02-22 17:09:00,2017-02-14 12:30:00,0.100000000000023,0.110000000000014,-0.00999999999999091,1.65999999999997,1.69,-0.0300000000000296,0.732143772588268,175.154,20,101.325,107.404079464968,78.7272516925211,1454.50609309339,961.047553588974,101.152305055301,74.1446974736628,"vol"
"C1-1","23022017",9.11111111111111,9,1510,"1510",74,38.4,0.3,407.86,407.79,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.0799999999999841,0.0699999999999932,0.00999999999999091,1.73999999999995,1.75999999999999,-0.0200000000000387,0.731390909090909,175.154,20,101.325,67.3551006814209,49.3207210212717,1521.86119377481,1010.36827461025,73.4226684188085,53.7636928619465,"vol"
"C1-1","26022017",11.9569444444444,12,1128,"1128",138,74,0.4,407.78,407.64,NA,2017-02-26 11:28:00,2017-02-14 12:30:00,0.150000000000034,0.139999999999986,0.0100000000000477,1.88999999999999,1.89999999999998,-0.00999999999999091,0.729055379482902,175.154,20,101.325,125.608160730217,91.6837094232695,1647.46935450502,1102.05198403352,44.1375674601057,32.2168232234036,"vol"
"C1-1","07032017",20.9194444444444,21,1034,"1034",149,80.9,0,407.59,407.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.189999999999998,0.139999999999986,0.0500000000000114,2.07999999999998,2.03999999999996,0.0400000000000205,0.7217,175.154,20,101.325,135.620405426104,97.9962599928982,1783.08975993113,1200.04824402641,15.1319838690214,10.9340317983708,"vol"
"C1-1","17032017",30.96875,31,1145,"1145",39,21,0.1,407.36,407.3,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.149999999999977,0.0600000000000023,0.089999999999975,2.22999999999996,2.09999999999997,0.129999999999995,0.7217,175.154,20,101.325,35.4979584672353,25.650027783376,1818.58771839836,1225.69827180979,3.53237925456561,2.55241793988401,"vol"
"C1-1","06042017",50.8645833333333,51,918,"0915",121,60.8,0.2,407.3,407.17,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.129999999999995,0.129999999999995,0,2.35999999999996,2.22999999999996,0.129999999999995,0.7217,175.154,20,101.325,110.134691654756,79.5808554304743,1928.72241005312,1305.27912724026,5.5355656538516,3.99987545619138,"vol"
"C1-1","16042017",60.9166666666667,61,1036,"1030",61,33.5,0.1,407.12,407.02,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.150000000000034,0.100000000000023,0.0500000000000114,2.50999999999999,2.32999999999998,0.180000000000007,0.7217,175.154,20,101.325,55.5224478590091,40.1192742252805,1984.24485791213,1345.39840146554,5.52347667820195,3.99114023381029,"vol"
"C1-2","14022017",0,0,1230,"1230",0,0,0,410.615,410.615,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,0,173.874,20,101.325,0,0,0,0,NA,NA,"vol"
"C1-2","15022017",0.874305555555556,1,935,"0929",155,81.4,0.4,410.61,410.41,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.204999999999984,0.199999999999989,0.00499999999999545,0.204999999999984,0.199999999999989,0.00499999999999545,0.4681,173.874,20,101.325,141.081629805679,66.1939569894426,141.081629805679,66.1939569894426,161.364215186797,75.7103241181869,"vol"
