"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","massloss","cmassloss"
"C5-2","15022017",0.874305555555556,1,1002,"0929",190,95.9,0.2,407.22,407,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,"C5",0.235000000000014,0.220000000000027,0.0149999999999864,0.235000000000014,0.220000000000027,0.0149999999999864,0.505293301986851,NA,20,101.325,172.938772019864,87.3848031554685,172.938772019864,87.3848031554685,197.801296035429,99.9476700110203,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","16022017",2.01388888888889,2,1314,"1250",210,111.1,0.4,407,406.75,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,"C5",0.25,0.25,0,0.485000000000014,0.470000000000027,0.0149999999999864,0.526617014479155,NA,20,101.325,191.142853285113,100.659078736034,364.081625304978,188.043881891502,167.730474546352,88.3297217427717,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","17022017",2.85,3,920,"0854",183,94.2,0.5,406.76,406.54,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,"C5",0.20999999999998,0.21999999999997,-0.00999999999999091,0.694999999999993,0.689999999999998,0.00499999999999545,0.544478873503944,NA,20,101.325,166.567343577027,90.6923995933643,530.648968882005,278.736281484866,199.216756437641,108.469315128276,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","18022017",4.15138888888889,4,1631,"1608",278,144.6,0.5,406.54,406.27,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,"C5",0.270000000000039,0.270000000000039,0,0.965000000000032,0.960000000000036,0.00499999999999545,0.606955274342288,NA,20,101.325,253.03672958696,153.581977625128,783.685698468965,432.318259109995,194.435907473438,118.013899562532,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","19022017",5.14513888888889,5,1624,"1559",223,115.5,0.2,406.25,406.02,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,"C5",0.25,0.230000000000018,0.0199999999999818,1.21500000000003,1.19000000000005,0.0249999999999773,0.606903652329037,NA,20,101.325,202.975506107525,123.186575989992,986.66120457649,555.504835099986,204.252081617635,123.961334329551,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","20022017",5.93194444444444,6,1112,"1052",195,97.9,0.4,406.01,405.82,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,"C5",0.199999999999989,0.189999999999998,0.00999999999999091,1.41500000000002,1.38000000000005,0.0349999999999682,0.619619366132011,NA,20,101.325,177.489792336177,109.976112622244,1164.15099691267,665.480947722231,225.582789906526,139.775465292173,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","21022017",7.13194444444444,7,1557,"1540",80,39.6,0.3,405.79,405.72,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,"C5",0.0999999999999659,0.0699999999999932,0.0299999999999727,1.51499999999999,1.45000000000005,0.0649999999999409,0.612210836611974,NA,20,101.325,72.8163250609956,44.5789432846016,1236.96732197366,710.059891006832,60.680270884163,37.1491194038346,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","23022017",9.11111111111111,9,1523,"1510",64,33.1,0.2,405.68,405.62,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,"C5",0.100000000000023,0.0600000000000023,0.0400000000000205,1.61500000000001,1.51000000000005,0.104999999999961,0.594571742696416,NA,20,101.325,58.2530600487965,34.6356234306119,1295.22038202246,744.695514437444,29.4331250772866,17.5001044702039,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","07032017",20.9194444444444,21,1051,"1034",114,60.4,0.4,405.47,405.36,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,"C5",0.259999999999991,0.110000000000014,0.149999999999977,1.875,1.62000000000006,0.254999999999939,0.52012679767339,NA,20,101.325,103.763263211919,53.9700538105564,1398.98364523438,798.665568248,8.78729116826411,4.57050561557288,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","17032017",30.96875,31,1209,"1145",112,54,0.2,405.36,405.24,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,"C5",0.120000000000005,0.120000000000005,0,1.995,1.74000000000007,0.254999999999939,0.528961074592366,NA,20,101.325,101.942855085394,53.9238021729837,1500.92650031977,852.589370420984,10.1442686284961,5.36592323468292,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","06042017",50.8645833333333,51,932,"0915",124,66.1,0.1,405.23,405.11,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,"C5",0.129999999999995,0.120000000000005,0.00999999999999091,2.125,1.86000000000007,0.26499999999993,0.538851633074886,NA,20,101.325,112.865303844543,60.8176532941253,1613.79180416431,913.40702371511,5.67281108328594,3.05680351635394,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","16042017",60.9166666666667,61,1050,"1030",61,32.4,0.1,404.97,404.86,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,"C5",0.25,0.110000000000014,0.139999999999986,2.375,1.97000000000008,0.404999999999916,0.454361247980792,NA,20,101.325,55.5224478590091,25.2272487001679,1669.31425202332,938.634272415277,5.52347667820195,2.50965375670064,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","14022017",0,0,1230,"1230",0,0,0,399.38,399.38,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,"C5",0,0,0,0,0,0,0,NA,20,101.325,0,0,0,0,NA,NA,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","15022017",0.874305555555556,1,1002,"0929",191,91.8,0.1,399.36,399.13,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,"C5",0.25,0.230000000000018,0.0199999999999818,0.25,0.230000000000018,0.0199999999999818,0.442170043838007,NA,20,101.325,173.848976083127,76.8708093758689,173.848976083127,76.8708093758689,198.842355488247,87.9221330430907,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","16022017",2.01388888888889,2,1314,"1250",194,98.8,0.5,399.14,398.92,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,"C5",0.20999999999998,0.21999999999997,-0.00999999999999091,0.45999999999998,0.449999999999989,0.00999999999999091,0.542117684388496,NA,20,101.325,176.579588272914,95.7269175047863,350.428564356041,172.597726880655,154.951009819011,84.0016826367411,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","17022017",2.85,3,920,"0854",172,87,0.3,398.93,398.73,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,"C5",0.189999999999998,0.199999999999989,-0.00999999999999091,0.649999999999977,0.649999999999977,0,0.566504948890864,NA,20,101.325,156.55509888114,88.6892382902646,506.983663237182,261.28696517092,187.241978728274,106.073507589685,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","18022017",4.15138888888889,4,1631,"1608",259,130,0.4,398.72,398.44,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,"C5",0.29000000000002,0.28000000000003,0.00999999999999091,0.939999999999998,0.930000000000007,0.00999999999999091,0.579649437757529,NA,20,101.325,235.742852384973,136.648211840306,742.726515622155,397.935177011226,181.147122430289,105.001827668111,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","19022017",5.14513888888889,5,1624,"1559",224,112.7,0.4,398.44,398.23,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,"C5",0.20999999999998,0.20999999999998,0,1.14999999999998,1.13999999999999,0.00999999999999091,0.620113292329933,NA,20,101.325,203.885710170788,126.432238993034,946.612225792942,524.367416004259,205.168010234755,127.227410307455,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","20022017",5.93194444444444,6,1112,"1052",176,88,0.4,398.22,398.05,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,"C5",0.180000000000007,0.170000000000016,0.00999999999999091,1.32999999999998,1.31,0.0199999999999818,0.630642152448251,NA,20,101.325,160.19591513419,101.026296733643,1106.80814092713,625.393712737902,203.602928325891,128.400588964207,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","21022017",7.13194444444444,7,1557,"1540",118,59.4,0.2,398.05,397.93,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,"C5",0.120000000000005,0.120000000000005,0,1.44999999999999,1.43000000000001,0.0199999999999818,0.636593247297735,NA,20,101.325,107.404079464968,68.3727117196282,1214.2122203921,693.76642445753,89.5033995541404,56.9772597663569,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-3","23022017",9.11111111111111,9,1523,"1510",71,36,0.3,397.91,397.84,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,"C5",0.0900000000000318,0.07000000000005,0.0199999999999818,1.54000000000002,1.50000000000006,0.0399999999999636,0.628596331229506,NA,20,101.325,64.6244884916336,40.6227163734243,1278.83670888373,734.389140830955,32.6523731326149,20.5251619570986,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
