"id","exper","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","time.d","xCH4.GC","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"B1","2","06022017",1744,"1701",385,841.6,0.13,93,841.5,NA,"08-02-2017 16:07:58",0.5935,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5817,817.4,30,1.5,0.100000000000023,3.89999999999998,78.9670750911813,46.0191515125992,2916.79003952913,1508.31271741843,14.8994481304116,8.68285877596212,"grav"
"B1","2","17022017",1720,"1707",400,841.5,0.182,134,841.4,NA,"27-02-2017 10:29:58",0.5888,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5888,817.4,30,1.5,0.100000000000023,4,79.5282504856252,46.9104112825443,2996.31829001476,1555.22312870097,7.22984095323865,4.26458284386766,"grav"
"B2","2","17012017",1520,"1520",189,853.2,0,0,853.2,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,NA,809.08,30,1.5,0,0,0,0,0,0,NA,NA,"grav"
"B2","2","18012017",1607,"1527",218,853.2,1.104,883,852.1,NA,"17-02-2017 12:33:31",0.4837,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.474,809.08,30,1.5,1.10000000000002,1.10000000000002,810.603181460003,385.109890292831,810.603181460003,385.109890292831,810.603181460003,385.109890292831,"grav"
"B2","2","19012017",1140,"1103",245,852.1,1.07,872,851,NA,"06-02-2017 11:59:59",0.4898,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.478,809.08,30,1.5,1.10000000000002,2.20000000000005,787.443205330342,377.257224171466,1598.04638679034,762.367114464298,984.304006662927,471.571530214333,"grav"
"B2","2","20012017",1518,"1450",263,851.1,0.576,450,850.5,NA,"02-02-2017 17:28:08",0.5701,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5701,809.08,30,1.5,0.5,2.70000000000005,390.334988882785,222.948235520002,1988.38137567313,985.3153499843,325.279157402321,185.790196266669,"grav"
"B2","2","22012017",646,"0617",290,850.5,0.293,224,850.3,NA,"10-02-2017 15:34:56",0.5836,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5723,809.08,30,1.5,0.200000000000045,2.90000000000009,156.472257896168,89.7165230690953,2144.8536335693,1075.0318730534,97.7951611851052,56.0728269181846,"grav"
"B2","2","24012017",937,"0923",305,850.3,0.187,135,850.1,NA,"03-02-2017 10:41:02",0.5888,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.5785,809.08,30,1.5,0.199999999999932,3.10000000000002,157.433441218704,91.2430761493803,2302.287074788,1166.27494920278,71.5606550994107,41.4741255224456,"grav"
"B2","2","28012017",1849,"1822",335,850.1,0.218,170,849.9,NA,"09-02-2017 12:30:42",0.5885,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.5775,809.08,30,1.5,0.200000000000045,3.30000000000007,157.277617259357,90.9955962570248,2459.56469204736,1257.2705454598,36.5761900603156,21.1617665714011,"grav"
"B2","2","01022017",1040,"1013",362,849.9,0.111,78,849.8,NA,"20-02-2017 15:26:54",0.5815,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.5815,809.08,30,1.5,0.100000000000023,3.40000000000009,78.9513814964732,45.9942269172808,2538.51607354383,1303.26477237708,21.338211215263,12.4308721398056,"grav"
"B2","2","06022017",1747,"1701",386,849.8,0.123,87,849.7,NA,"08-02-2017 12:22:10",0.5963,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5846,809.08,30,1.5,0.0999999999999091,3.5,79.195332246354,46.3816699367362,2617.71140579019,1349.64644231382,14.94251551818,8.75125847862946,"grav"
"B2","2","17022017",1720,"1707",401,849.7,0.166,120,849.5,NA,"27-02-2017 11:46:24",0.5891,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5891,809.08,30,1.5,0.200000000000045,3.70000000000005,159.104274054427,93.8966958616421,2776.81567984461,1443.54313817546,14.4640249140388,8.53606326014928,"grav"
"B3","2","17012017",1520,"1520",190,847.9,0,0,847.9,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,NA,817.3,30,1.5,0,0,0,0,0,0,NA,NA,"grav"
"B3","2","18012017",609,"1527",219,847.9,1.044,852,846.9,NA,"17-02-2017 12:51:20",0.5525,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.5429,817.3,30,1.5,1,1,741.786879550047,403.521012832387,741.786879550047,403.521012832387,741.786879550047,403.521012832387,"grav"
