"id","exper","date","inject.date.time","xCH4","xCH4.oa","start.time"
"I2",2,"20012017","02-02-2017 16:33:32",0.4848,0.4848,2016-11-16 14:26:00
"I2",1,"24112016","25-11-2016 13:32:57",0.6837,0.6811,2016-11-16 14:26:00
"I2",1,"17022017","20-03-2017 18:04:42",0.7221,0.7221,2016-11-16 14:26:00
"I2",1,"16112016","23-11-2016 14:22:54",0.1963,0.1922,2016-11-16 14:26:00
"I2",2,"18012017","17-02-2017 11:04:27",0.2303,0.2372,2016-11-16 14:26:00
"I2",2,"28012017","09-02-2017 15:05:48",0.6104,0.6211,2016-11-16 14:26:00
"I2",1,"29112016","01-12-2016 18:59:42",0.6945,0.6918,2016-11-16 14:26:00
"I2",2,"24012017","03-02-2017 13:21:44",0.5657,0.576,2016-11-16 14:26:00
"I3",2,"06022017","08-02-2017 13:30:36",0.6216,0.633,2016-11-16 14:26:00
"I3",1,"19112016","23-11-2016 12:01:02",0.6572,0.6512,2016-11-16 14:26:00
"I3",1,"17022017","20-03-2017 19:43:56",0.7031,0.7031,2016-11-16 14:26:00
"I3",2,"20012017","02-02-2017 15:22:25",0.4926,0.4926,2016-11-16 14:26:00
"I3",1,"21112016","24-11-2016 12:53:58",0.6579,0.6511,2016-11-16 14:26:00
"I3",2,"24012017","03-02-2017 13:03:44",0.5831,0.5933,2016-11-16 14:26:00
"I3",1,"16122016","02-01-2017 10:30:18",0.6969,0.6938,2016-11-16 14:26:00
"I3",2,"18012017","17-02-2017 10:46:34",0.2609,0.2685,2016-11-16 14:26:00
"I3",2,"22012017","10-02-2017 18:27:27",0.5464,0.5579,2016-11-16 14:26:00
"I3",1,"29112016","01-12-2016 17:47:00",0.7022,0.6995,2016-11-16 14:26:00
"I3",1,"17112016","24-11-2016 11:04:22",0.579,0.5717,2016-11-16 14:26:00
"I3",1,"16112016","23-11-2016 17:41:47",0.1948,0.1906,2016-11-16 14:26:00
"I3",1,"24112016","25-11-2016 14:43:43",0.6989,0.6964,2016-11-16 14:26:00
"I3",1,"07122016","02-01-2017 15:06:06",0.7064,0.7034,2016-11-16 14:26:00
"I3",2,"28012017","09-02-2017 13:38:10",0.6095,0.6202,2016-11-16 14:26:00
"I3",2,"17022017","27-02-2017 14:21:58",0.6309,0.6309,2016-11-16 14:26:00
"I3",2,"19012017","06-02-2017 13:46:10",0.4508,0.4625,2016-11-16 14:26:00
"I3",2,"01022017","20-02-2017 14:15:15",0.6165,0.6165,2016-11-16 14:26:00
"I4",1,"07122016","08-12-2016 10:06:03",0.7021,0.702,2016-11-16 14:26:00
"I4",1,"21112016","24-11-2016 16:45:56",0.6602,0.6535,2016-11-16 14:26:00
"I4",1,"24112016","25-11-2016 13:50:43",0.6963,0.6938,2016-11-16 14:26:00
"I4",1,"17022017","20-03-2017 15:45:52",0.6681,0.6681,2016-11-16 14:26:00
"I4",1,"19112016","23-11-2016 10:30:49",0.6493,0.6432,2016-11-16 14:26:00
"I4",1,"16112016","22-11-2016 21:24:58",0.1866,0.1826,2016-11-16 14:26:00
