"method","descrip","time.d","mean","se","sd","n"
"gdt","FI2",11.1,350.10934487471,25.2251715026916,43.6912786723004,3
"gdt","FI2",14.8,353.945868583884,26.3173530736039,45.5829926442109,3
"gdt","FI2",20.1,359.28335212589,28.861373593751,49.9893654406035,3
"gdt","FI2",31.1,364.125168497956,32.8802348543077,56.9502373324581,3
"gdt","FI3",0,0,0,0,3
"gdt","FI3",1,109.392283770854,6.67163391752893,11.5556089146599,3
"gdt","FI3",1.8,217.231401548133,12.7012805982063,21.9992633172822,3
"gdt","FI3",3,310.499488507778,15.51764874607,26.8773560422008,3
"gdt","FI3",4.6,372.650845486782,18.9974805511292,32.9046015303573,3
"gdt","FI3",6.8,410.469610017628,20.8476188567851,36.1091350767828,3
"gdt","FI3",11.1,446.585029911862,26.1280558941208,45.2551203116167,3
"gdt","FI3",14.8,461.551134348984,29.0885417367093,50.3828322060683,3
"gdt","FI3",20.1,480.156165201496,34.8017181843569,60.2783440859999,3
"gdt","FI3",31.1,496.200674207096,46.3207828184206,80.2299492878679,3
"gdt.hc","Cellulose",0,0,0,0,2
"gdt.hc","Cellulose",1,10.1652355051303,22.4844484869705,31.7978119927529,2
"gdt.hc","Cellulose",1.8,36.8639871021553,31.5930625325309,44.6793375104064,2
"gdt.hc","Cellulose",3,175.172849121921,45.4243713188209,64.2397619813479,2
"gdt.hc","Cellulose",4.6,259.747445574307,61.1255819116604,86.4446269474177,2
"gdt.hc","Cellulose",6.8,308.032538714916,74.4469409519073,105.283873571376,2
"gdt.hc","Cellulose",11.1,336.365930012317,96.4679998157086,136.42635367438,2
"gdt.hc","Cellulose",14.8,345.699040517946,109.321500750914,154.603949020924,2
"gdt.hc","Cellulose",20.1,351.995705435145,124.509272996533,176.082702512912,2
"gdt.hc","Cellulose",31.1,359.648776471424,149.117227546049,210.883605579098,2
"gdt.hc","Ethanol",0,0,0,0,3
"gdt.hc","Ethanol",1,65.4021053495375,24.1142862804908,41.7671690260711,3
"gdt.hc","Ethanol",1.8,158.75607738746,33.9363417171957,58.7794680772022,3
"gdt.hc","Ethanol",3,521.877808822061,48.0120287477196,83.1592731655079,3
"gdt.hc","Ethanol",4.6,667.834733448355,66.5810337286459,115.321733238472,3
"gdt.hc","Ethanol",6.8,691.184481630216,79.5266391778877,137.744179611299,3
"gdt.hc","Ethanol",11.1,717.066270332683,103.053244198957,178.493454837397,3
"gdt.hc","Ethanol",14.8,729.245890742978,116.936116458299,202.539294945565,3
"gdt.hc","Ethanol",20.1,740.168453316829,133.288985453621,230.863294894981,3
"gdt.hc","Ethanol",31.1,763.496993586814,159.956830283772,277.053357069165,3
"gdt.hc","FI1",0,0,0,0,3
"gdt.hc","FI1",1,103.178979987452,10.9640913081622,18.9903632045612,3
"gdt.hc","FI1",1.8,218.261466369739,15.4309352723492,26.7271639000154,3
"gdt.hc","FI1",3,276.640923907232,21.3043521305187,36.9002203123966,3
"gdt.hc","FI1",4.6,308.439102631603,28.3974355235737,49.1858011314909,3
