"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","xCH4.GC","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"2","B1","22012017",643,"0617",289,842.4,0.326,250,842.1,NA,"10-02-2017 19:02:36",0.5886,0.5773,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,20,30,1.01325,1.5,0.299999999999955,0.299999999999955,0,3.29999999999995,0,3.29999999999995,226.934556925694,2496.28012618298,0.537519242652546,"",122.228373956715,1344.51211352405,141.834098078559,76.3927337229467
"2","B1","24012017",933,"0923",304,842.1,0.205,150,842,NA,"03-02-2017 10:23:15",0.5958,0.5856,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.39999999999998,0,3.39999999999998,75.6448523085933,2571.92497849157,0.537519242652546,"",40.7427913189204,1385.25490484297,34.3840237766333,18.5194505995092
"2","B1","28012017",1846,"1822",334,841.9,0.222,165,841.8,NA,"09-02-2017 14:13:33",0.589,0.578,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,20,30,1.01325,1.5,0.200000000000045,0.100000000000023,0.100000000000023,3.60000000000002,0.100000000000023,3.5,151.289704617187,2723.21468310876,0.537519242652546,"",81.4855826378407,1466.74048748081,35.183652236555,18.9501354971723
"2","B1","01022017",1037,"1013",361,841.7,0.123,87,841.6,NA,"20-02-2017 12:09:09",0.5908,0.5908,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,20,30,1.01325,1.5,0.199999999999932,0.100000000000023,0.0999999999999091,3.79999999999995,0.199999999999932,3.60000000000002,151.289704617101,2874.50438772586,0.537519242652546,"",81.4855826377944,1548.2260701186,40.8891093559731,22.0231304426471
"2","B1","06022017",1744,"1701",385,841.6,0.13,93,841.5,NA,"08-02-2017 16:07:58",0.5935,0.5817,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.89999999999998,0.199999999999932,3.70000000000005,75.6448523085933,2950.14924003445,0.537519242652546,"",40.7427913189204,1588.96886143752,14.2726136431308,7.68731911677742
"2","B1","17022017",1720,"1707",400,841.5,0.182,134,841.4,NA,"27-02-2017 10:29:58",0.5888,0.5888,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,4,0.199999999999932,3.80000000000007,75.6448523085933,3025.79409234304,0.537519242652546,"",40.7427913189204,1629.71165275644,6.87680475532666,3.70389011990185
"2","B2","17012017",1520,"1520",189,853.2,0,0,853.2,NA,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,20,30,1.01325,1.5,0,0,0,0,0,0,0,0,0.518704961051564,"",0,0,NA,NA
"2","B2","18012017",1607,"1527",218,853.2,1.104,883,852.1,NA,"17-02-2017 12:33:31",0.4837,0.474,2017-01-18 15:27:00,2017-01-17 15:20:00,1,20,30,1.01325,1.5,1.10000000000002,1.10000000000002,0,1.10000000000002,0,1.10000000000002,817.444142168996,817.444142168996,0.518704961051564,"",424.904765973355,424.904765973355,817.444142168996,424.904765973355
"2","B2","19012017",1140,"1103",245,852.1,1.07,872,851,NA,"06-02-2017 11:59:59",0.4898,0.478,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,20,30,1.01325,1.5,1.10000000000002,1.10000000000002,0,2.20000000000005,0,2.20000000000005,817.444142168996,1634.88828433799,0.518704961051564,"",424.904765973355,849.80953194671,1021.80517771125,531.130957466694
"2","B2","20012017",1518,"1450",263,851.1,0.576,450,850.5,NA,"02-02-2017 17:28:08",0.5701,0.5701,2017-01-20 14:50:00,2017-01-17 15:20:00,3,20,30,1.01325,1.5,0.5,0.600000000000023,-0.100000000000023,2.70000000000005,-0.100000000000023,2.80000000000007,371.565519167718,2006.45380350571,0.518704961051564,"",193.138529987885,1042.94806193459,309.637932639765,160.948774989904
"2","B2","22012017",646,"0617",290,850.5,0.293,224,850.3,NA,"10-02-2017 15:34:56",0.5836,0.5723,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,2.90000000000009,-0.100000000000023,3.00000000000011,148.626207667121,2155.08001117283,0.518704961051564,"",77.2554119951714,1120.20347392977,92.8913797919506,48.2846324969821
"2","B2","24012017",937,"0923",305,850.3,0.187,135,850.1,NA,"03-02-2017 10:41:02",0.5888,0.5785,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,20,30,1.01325,1.5,0.199999999999932,0.199999999999932,0,3.10000000000002,-0.100000000000023,3.20000000000005,148.626207667036,2303.70621883987,0.518704961051564,"",77.2554119951275,1197.45888592489,67.5573671213802,35.1160963614216
"2","B2","28012017",1849,"1822",335,850.1,0.218,170,849.9,NA,"09-02-2017 12:30:42",0.5885,0.5775,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,3.30000000000007,-0.100000000000023,3.40000000000009,148.626207667121,2452.33242650699,0.518704961051564,"",77.2554119951714,1274.71429792006,34.5642343411909,17.966374882598
"2","B2","01022017",1040,"1013",362,849.9,0.111,78,849.8,NA,"20-02-2017 15:26:54",0.5815,0.5815,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.40000000000009,-0.100000000000023,3.50000000000011,74.3131038335605,2526.64553034055,0.518704961051564,"",38.6277059975857,1313.34200391765,20.084622657719,10.439920539888
"2","B2","06022017",1747,"1701",386,849.8,0.123,87,849.7,NA,"08-02-2017 12:22:10",0.5963,0.5846,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,20,30,1.01325,1.5,0.0999999999999091,0.0999999999999091,0,3.5,-0.100000000000023,3.60000000000002,74.313103833476,2600.95863417403,0.518704961051564,"",38.6277059975418,1351.96970991519,14.0213403459389,7.28824641463052
