"method","time.d","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"vol",31.1,"C1","2","FI3","C","C",536.09,496.42,3.42,1037.8,NA,1037.8,NA,1.86999999999989,799.27,19.86,2.7335034,9.8589012,3.60669066663681,1120,623.16,NA,514.160243904864,0.835427629659526,0.050388671722631,2,8.52980442712342,665.878724999704,151.71848109484,0.227847016879699,9.15087371632627,0
"vol",31.1,"C2","2","FI3","C","C",536.44,480.16,3.6,1022.1,NA,1022.1,NA,1.89999999999986,799.27,19.86,2.877372,9.5359776,3.31412747465396,1120,639.24,NA,543.702663501522,0.835427629659526,0.050388671722631,2,8.52980442712342,683.114227476329,139.411563974807,0.204082360412611,8.40858415746678,0
"vol",31.1,"C3","2","FI3","C","C",537.69,506.59,3.09,1049.3,NA,1049.3,NA,1.93000000000006,799.27,19.86,2.4697443,10.0608774,4.07365143023106,1120,613.32,NA,553.864536522782,0.835427629659526,0.050388671722631,2,8.52980442712342,725.226115496451,171.361578973669,0.236287104548578,10.3356437376807,0
"grav",31.1,"L1","2","Cellulose","Cellulose","Cellulose",537.98,296.94,1.56,838.3,NA,838.3,NA,1.81999999999994,945.69,19.86,1.4752764,5.8972284,3.99737188231304,1120,824.5,NA,363.18476237712,0.950321341661938,0.0470011266187146,2,6.99443733366633,554.46310126541,191.27833888829,0.344979383572594,9.46027099610698,0
"grav",31.1,"L3","2","Cellulose","Cellulose","Cellulose",537.02,322.27,1.75,863.3,NA,863.3,NA,2.25999999999999,945.69,19.86,1.6549575,6.4002822,3.86733931233884,1120,798.98,NA,360.133479412245,0.950321341661938,0.0470011266187146,2,6.99443733366633,545.189626641037,185.056147228791,0.339434461306499,9.1525329655977,0
"grav",31.1,"E1","2","Ethanol","Ethanol","Ethanol",539.62,308.28,1.44,851.1,NA,851.1,NA,1.75999999999999,1000,19.86,1.44,6.1224408,4.251695,1120,813.28,NA,725.727231805441,0.950321341661938,0.0470011266187146,2,6.99443733366633,929.175192366234,203.447960560793,0.218955437287013,10.0621578569565,0
"grav",31.1,"E2","2","Ethanol","Ethanol","Ethanol",537.6,300.31,1.48,841.2,NA,841.2,NA,1.80999999999995,1000,19.86,1.48,5.9641566,4.02983554054054,1120,821.21,NA,712.901514881458,0.950321341661938,0.0470011266187146,2,6.99443733366633,905.733273066929,192.831758185471,0.212901263450903,9.53710022626094,0
"grav",31.1,"E3","2","Ethanol","Ethanol","Ethanol",536.89,331.33,1.52,871.6,NA,871.6,NA,1.86000000000001,1000,19.86,1.52,6.5802138,4.32908802631579,1120,790.15,NA,762.27316720294,0.950321341661938,0.0470011266187146,2,6.99443733366633,969.424463342973,207.151296140033,0.21368482431905,10.2453179490649,0
"grav",31.1,"A1","2","FI1","A","A",538.12,281.87,3.89,826.2,NA,826.2,NA,2.32000000000005,821,19.86,3.19369,5.5979382,1.75281201368949,1120,837.24,NA,376.450829328207,0.950321341661938,0.0470011266187146,2,6.99443733366633,460.32467950598,83.8738501777725,0.182205851460725,4.14824468248862,0
"grav",31.1,"A2","2","FI1","A","A",540.96,296.05,3.82,842.7,NA,842.7,NA,1.87,821,19.86,3.13622,5.879553,1.87472594397077,1120,823.13,NA,382.821233100103,0.950321341661938,0.0470011266187146,2,6.99443733366633,472.528789712527,89.7075566124241,0.189845695258059,4.4367689560906,0
"grav",31.1,"A3","2","FI1","A","A",527.29,296.7,3.49,839.3,NA,839.3,NA,11.8199999999999,821,19.86,2.86529,5.892462,2.05649759710186,1120,822.81,"May be error in tare. Check original data sheet.",376.956352657365,0.950321341661938,0.0470011266187146,2,6.99443733366633,475.361869052249,98.4055163948839,0.207011800485974,4.86695387474658,0
"grav",31.1,"B1","2","FI2","B","B",537.92,301.66,3.94,845.4,NA,845.4,NA,1.88,858.47,19.86,3.3823718,5.9909676,1.77123271900505,1120,817.4,NA,375.047235426701,0.950321341661938,0.0470011266187146,2,6.99443733366633,459.802535221283,84.7552997945821,0.184329779203573,4.19183954164987,0
"grav",31.1,"B2","2","FI2","B","B",537.39,310.41,3.51,853.2,NA,853.2,NA,1.8900000000001,858.47,19.86,3.0132297,6.1647426,2.04589202077757,1120,809.08,NA,381.17037360616,0.950321341661938,0.0470011266187146,2,6.99443733366633,479.068402311135,97.8980287049746,0.204350836399755,4.84185447717949,0
"grav",31.1,"B3","2","FI2","B","B",537.31,302.25,3.45,847.9,NA,847.9,NA,4.88999999999999,858.47,19.86,2.9617215,6.002685,2.02675538533924,1120,817.3,NA,386.274366014264,0.950321341661938,0.0470011266187146,2,6.99443733366633,483.256687112761,96.9823210984965,0.20068490242302,4.79656528154538,0
"grav",31.1,"C1","2","FI3","C","C",536.09,496.42,3.42,1037.8,NA,1037.8,NA,1.86999999999989,799.27,19.86,2.7335034,9.8589012,3.60669066663681,1120,623.16,NA,524.297930003121,0.950321341661938,0.0470011266187146,2,6.99443733366633,696.881772564949,172.583842561827,0.247651537687108,8.53567596662302,0
"grav",31.1,"C2","2","FI3","C","C",536.44,480.16,3.6,1022.1,NA,1022.1,NA,1.89999999999986,799.27,19.86,2.877372,9.5359776,3.31412747465396,1120,639.24,NA,521.225486123194,0.950321341661938,0.0470011266187146,2,6.99443733366633,679.809880289954,158.584394166759,0.233277565926402,7.84328927828658,0
"grav",31.1,"C3","2","FI3","C","C",537.69,506.59,3.09,1049.3,NA,1049.3,NA,1.93000000000006,799.27,19.86,2.4697443,10.0608774,4.07365143023106,1120,613.32,NA,518.982685040335,0.950321341661938,0.0470011266187146,2,6.99443733366633,713.911078426048,194.928393385712,0.273042959097188,9.64079590497472,0
"gd01",31.1,"L1","2","Cellulose","Cellulose","Cellulose",537.98,296.94,1.56,838.3,NA,838.3,NA,1.81999999999994,945.69,19.86,1.4752764,5.8972284,3.99737188231304,1120,824.5,NA,377.46852052752,0.834041020561189,0.118828481606068,2,20.1487512173479,545.34224279776,167.87372227024,0.307831869779609,23.9175040881192,0
"gd01",31.1,"L3","2","Cellulose","Cellulose","Cellulose",537.02,322.27,1.75,863.3,NA,863.3,NA,2.25999999999999,945.69,19.86,1.6549575,6.4002822,3.86733931233884,1120,798.98,NA,414.221486014163,0.834041020561189,0.118828481606068,2,20.1487512173479,576.63435746026,162.412871446097,0.281656598058831,23.1394792719375,0
"gd01",31.1,"E1","2","Ethanol","Ethanol","Ethanol",539.62,308.28,1.44,851.1,NA,851.1,NA,1.75999999999999,1000,19.86,1.44,6.1224408,4.251695,1120,813.28,NA,734.20697892409,0.834041020561189,0.118828481606068,2,20.1487512173479,912.761260742565,178.554281818474,0.195619916727419,25.4391974371657,0
"gd01",31.1,"E2","2","Ethanol","Ethanol","Ethanol",537.6,300.31,1.48,841.2,NA,841.2,NA,1.80999999999995,1000,19.86,1.48,5.9641566,4.02983554054054,1120,821.21,NA,723.039814158219,0.834041020561189,0.118828481606068,2,20.1487512173479,892.276880972226,169.237066814007,0.189668779302683,24.1117441291339,0
