"exp","bottle","date.time","time","pres","pres.resid","xCH4.p","headspace.p","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.p","vCH4.p","cvBg.p","cvCH4.p","rvBg.p","rvCH4.p","mass","xCH4.m","headspace.m","massloss","cmassloss","vBg.m","vCH4.m","cvBg.m","cvCH4.m","rvBg.m","rvCH4.m","err.m"
"TSR1",2,"2016-04-30 13:20:00.00",4.01388888888889,1.375,1.005,0.488510364775832,493.333333333333,0.730909090909091,1.005,0.601076555023923,35,152.095155709882,74.4662747651445,620.569631952016,276.551709641822,171.107050173617,83.7745591107875,484.61,0.488510364775832,493.333333333333,0.21999999999997,0.889999999999986,158.123068743162,77.4175602686276,641.526473375297,285.677120549945,177.888452336057,87.094755302206,3.9632511667745
"TSR1",2,"2016-05-02 11:00:00.00",5.91666666666667,1.665,1.008,0.512336881513166,493.333333333333,0.605405405405405,1.005,0.730909090909091,35,282.070999968237,144.823576267828,902.640631920253,421.37528590965,148.241693413964,76.1116605203183,484.23,0.512336881513166,493.333333333333,0.379999999999995,1.26999999999998,279.142624192149,143.320061717957,920.669097567447,428.997182267902,146.702693006093,75.3214922897289,-1.03816974322669
"TSR1",2,"2016-05-04 14:30:00.00",8.0625,1.628,1.007,0.513049612038561,493.333333333333,0.618550368550368,1.008,0.605405405405405,35,261.525481161406,134.461276152758,1164.16611308166,555.836562062407,121.875952385898,62.6615655857512,483.88,0.513049612038561,493.333333333333,0.350000000000023,1.62,257.274687262838,132.275763789964,1177.94378483028,561.272946057866,119.894999889478,61.643074387556,-1.62538421865872
"TSR1",2,"2016-05-09 10:45:00.00",12.90625,1.734,0.997,0.52855130566692,493.333333333333,0.574971164936563,1.007,0.618550368550368,35,308.636401263749,163.466480162475,1472.80251434541,719.303042224882,63.7184828415481,33.7479184851561,483.44,0.52855130566692,493.333333333333,0.439999999999998,2.06,328.139680839102,173.796215899262,1506.08346566939,735.069161957128,67.7449663667823,35.8805090888799,6.31917670614817
"TSR1",3,"2016-04-28 10:30:00.00",1.89583333333333,1.402,1.003,0.339497041420118,502.87,0.715406562054208,1.008,1,22,143.420166470763,48.8314719774106,143.420166470763,48.8314719774106,NA,NA,474.72,0.339497041420118,502.87,0.239999999999952,0.239999999999952,204.431552542867,69.6045324374279,204.431552542867,69.6045324374279,107.832027714919,36.7144786483137,42.5403118497572
"TSR1",3,"2016-04-29 16:00:00.00",3.125,1.432,1.005,0.0155635622385028,502.87,0.7018156424581,1.003,0.715406562054208,35,184.170209777271,2.87871136816986,327.590376248035,51.7101833455804,149.833391005237,2.34200246901954,474.47,0.0155635622385028,502.87,0.25,0.489999999999952,125.735162957158,1.96533002498718,330.166715500025,71.569862462415,102.293013931247,1.59891256270143,-31.7288267688802
"TSR1",3,"2016-04-30 13:20:00.00",4.01388888888889,1.305,1.005,0.488275068335491,502.87,0.770114942528736,1.005,0.7018156424581,35,126.330947782234,61.8223080496177,453.921324030269,113.532491395198,142.122316255013,69.5500965558198,474.28,0.488275068335491,502.87,0.190000000000055,0.680000000000007,136.531746783931,66.8142514277536,466.698462283956,138.384113890169,153.598215131923,75.1660328562227,8.07466355693061
"TSR1",3,"2016-05-02 11:00:00.00",5.91666666666667,1.529,1.008,0.489694690362166,502.87,0.659254414650098,1.005,0.770114942528736,35,227.873583736382,111.837536481902,681.794907766651,225.3700278771,119.758379773865,58.7759315817296,473.97,0.489694690362166,502.87,0.309999999999945,0.989999999999952,223.04894130894,109.469661651288,689.747403592896,247.853775541457,117.222801271852,57.5315010138157,-2.11724516213481
"TSR1",3,"2016-05-04 14:30:00.00",8.0625,1.6,1.007,0.510352477199901,502.87,0.629375,1.008,0.659254414650098,35,255.435432331052,130.641255280451,937.230340097703,356.011283157552,119.037871377578,60.8813616840939,473.63,0.510352477199901,502.87,0.340000000000032,1.32999999999998,249.301509344769,127.504089103431,939.048912937665,375.357864644888,116.179344160669,59.4193813297542,-2.40135948654655
"TSR1",3,"2016-05-09 10:45:00.00",12.90625,1.663,0.997,0.524020858759569,502.87,0.599518941671678,1.007,0.629375,35,283.222633748219,148.723483907828,1220.45297384592,504.73476706538,58.4717695480193,30.7042031293581,473.25,0.524020858759569,502.87,0.379999999999995,1.70999999999998,282.192752782012,148.182681489329,1221.24166571968,523.540546134217,58.2591489614476,30.592553597797,-0.363629471478832
