"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.ino.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gdv",4.86111111111111,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,399.890689436995,0.532895702300144,0.00862897647114638,3,2.80464368559009,453.995869782348,54.1051803453532,0.119175490233627,0.876104510042056,0
"gdv",5.85902777777778,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,421.80575592092,0.571248380174331,0.0101021177662965,3,3.06300758873573,479.80490378028,57.9991478593592,0.120880690052137,1.02567331891826,0
"gdv",6.83958333333333,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,437.754740747903,0.633363999647819,0.00875595765046442,3,2.39447829809694,502.060520053847,64.3057793059448,0.12808372046272,0.88899697582441,0
"gdv",8.91666666666667,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,458.593251232896,0.692144096677639,0.0128283461831002,3,3.21021987659318,528.867004641069,70.2737534081726,0.132876040273804,1.30246872093995,0
"gdv",10.8784722222222,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,470.934902802883,0.741282544708639,0.0123341400208043,3,2.8819452631383,546.197708630004,75.2628058271215,0.137794070970929,1.25229170989746,0
"gdv",13.125,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,481.103699925878,0.820418116433264,0.0132127189450647,3,2.78944358499444,564.401181884581,83.2974819587033,0.147585590945374,1.34149428920061,0
"gdv",15.8541666666667,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,490.612458874507,0.902984526969486,0.0138492332451677,3,2.65647692845938,582.292951830012,91.6804929555056,0.157447368489306,1.40611992016521,0
"gdv",18.9097222222222,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,498.023899095056,0.963841338924439,0.015575834032775,3,2.79902249732637,595.883216109104,97.8593170140479,0.164225664305555,1.58142260433905,0
"gdv",22.8611111111111,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,505.870871899349,1.06277510446818,0.0138086873168339,3,2.25046182565189,613.774986054535,107.904114155185,0.175804026893983,1.40200327078091,0
"gdv",27.1458333333333,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,512.706509374928,1.13789927112004,0.0114689091319048,3,1.74573741525441,628.238019599267,115.53151022434,0.183897673525129,1.16444436363023,0
