"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d"
"I2","28112018",15.8541666666642,"0900",13,183.721,183.7049,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"I3","28112018",15.8541666666642,"0900",12.33,183.5848,183.5714,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"L1","28112018",15.8541666666642,"0900",22.66,184.3268,184.2988,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"L2","28112018",15.8541666666642,"0900",21.1,187.5363,187.5093,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"L3","28112018",15.8541666666642,"0900",24.2,183.2204,183.193,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"C1","28112018",15.8541666666642,"0900",23,187.9773,187.9509,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"C2","28112018",15.8541666666642,"0900",22.5,184.5876,184.561,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"C3","28112018",15.8541666666642,"0900",24.66,183.4297,183.4021,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"I1","01122018",18.909722222219,"1020",11,183.0969,183.0851,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"I2","01122018",18.909722222219,"1020",11,183.7051,183.6924,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"I3","01122018",18.909722222219,"1020",11,183.5727,183.5592,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"L1","01122018",18.909722222219,"1020",20.1,184.2999,184.2747,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"L2","01122018",18.909722222219,"1020",17.1,187.5113,187.4903,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"L3","01122018",18.909722222219,"1020",20.1,183.1938,183.1691,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"C1","01122018",18.909722222219,"1020",19.1,187.9522,187.9304,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"C2","01122018",18.909722222219,"1020",19,184.5637,184.5419,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"C3","01122018",18.909722222219,"1020",20,183.403,183.3803,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"I1","05122018",22.8611111111095,"0910",11.1,183.0789,183.0655,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"I2","05122018",22.8611111111095,"0910",12,183.6875,183.6736,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"I3","05122018",22.8611111111095,"0910",11.8,183.5546,183.5396,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"L1","05122018",22.8611111111095,"0910",21.6,184.2694,184.2433,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"L2","05122018",22.8611111111095,"0910",18.5,187.4854,187.4627,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"L3","05122018",22.8611111111095,"0910",21,183.1638,183.1387,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"C1","05122018",22.8611111111095,"0910",20.6,187.925,187.9008,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"C2","05122018",22.8611111111095,"0910",21,184.5362,184.5128,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"C3","05122018",22.8611111111095,"0910",21,183.3748,183.3516,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"I1","09122018",27.1458333333285,"1600",13,183.0645,183.049,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"I2","09122018",27.1458333333285,"1600",12,183.6725,183.6595,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"I3","09122018",27.1458333333285,"1600",11.6,183.539,183.5262,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"L1","09122018",27.1458333333285,"1600",21.1,184.243,184.217,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"L2","09122018",27.1458333333285,"1600",20.5,187.4612,187.4368,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"L3","09122018",27.1458333333285,"1600",21,183.1375,183.1118,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"C1","09122018",27.1458333333285,"1600",19.3,187.9007,187.8782,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"C2","09122018",27.1458333333285,"1600",19.5,184.5112,184.4892,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"C3","09122018",27.1458333333285,"1600",20,183.3503,183.3284,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
