"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","leaked"
"I2","18112018",5.85902777777665,"0907",9.2,183.784,183.7731,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.00919999999999277,0.114399999999989,0.0108999999999924,-0.00169999999999959,0.115499999999997,-0.00110000000000809,FALSE
"I2","19112018",6.8395833333343,"0839",8.1,183.7702,183.7604,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.0126999999999953,0.127099999999984,0.00979999999998427,0.002900000000011,0.125299999999982,0.00180000000000291,FALSE
"I2","21112018",8.91666666666424,"1030",15,183.7643,183.7477,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.0126999999999953,0.13979999999998,0.0165999999999826,-0.00389999999998736,0.141899999999964,-0.00209999999998445,FALSE
"I2","23112018",10.878472222219,"0935",10.75,183.7515,183.7378,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.00990000000001601,0.149699999999996,0.0137,-0.00379999999998404,0.155599999999964,-0.00589999999996849,FALSE
"I2","25112018",13.125,"1530",13.33,183.7365,183.7217,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.0160999999999945,0.16579999999999,0.0148000000000081,0.00129999999998631,0.170399999999972,-0.00459999999998217,FALSE
"I2","28112018",15.8541666666642,"0900",13,183.721,183.7049,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0167999999999893,0.182599999999979,0.0160999999999945,0.000699999999994816,0.186499999999967,-0.00389999999998736,FALSE
"I2","01122018",18.909722222219,"1020",11,183.7051,183.6924,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0125000000000171,0.195099999999996,0.0126999999999953,-0.000199999999978218,0.199199999999962,-0.00409999999996558,FALSE
"I2","05122018",22.8611111111095,"0910",12,183.6875,183.6736,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.0187999999999988,0.213899999999995,0.0139000000000067,0.00489999999999213,0.213099999999969,0.000800000000026557,FALSE
"I2","09122018",27.1458333333285,"1600",12,183.6725,183.6595,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.0140999999999849,0.22799999999998,0.0130000000000052,0.00109999999997967,0.226099999999974,0.00190000000000623,FALSE
"I3","12112018",0,"1230",0,183.7484,183.7484,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
