"descrip","elapsed.time","mean.vol","sd.vol","mean.grav","sd.grav","mean.man","sd.man","mean.gd03","sd.gd03","mean.gd06","sd.gd06"
"Sludge C2",4.15138888888889,98.7916697836751,6.21287541013612,98.2135875682637,4.74025549869842,84.3485278005711,5.28905683752491,60.394050039753,29.3907853913706,60.394050039753,29.3907853913706
"Sludge C2",5.14513888888889,132.04917388982,10.4022869335165,130.501223340412,8.23088457889373,113.234041764666,9.67568253982226,73.917543883194,36.4553958802975,73.917543883194,36.4553958802975
"Sludge C2",5.93194444444444,160.752872054121,15.2420097424598,163.785250308614,8.92855363131212,137.834259567843,13.619885724444,86.5839639539979,42.1783966455856,86.5839639539979,42.1783966455856
"Sludge C2",7.13194444444444,203.285872413916,18.7282894614203,203.998047961636,12.4829128112191,174.659689281774,16.0072616478276,102.142328024629,50.0705160272572,102.142328024629,50.0705160272572
"Sludge C2",8.19375,236.871219629305,27.7636748819368,243.571172730157,10.5746263907883,202.943947471444,24.1197374741645,116.846771077352,56.3137754451246,116.846771077352,56.3137754451246
"Sludge C2",9.11111111111111,255.253677650287,25.6069666803369,265.148090854275,2.91585459285749,218.416211650617,21.9203548116702,124.140833787121,57.8384933385685,124.140833787121,57.8384933385685
"Sludge C2",11.9569444444444,273.292343509252,28.3311800369681,289.266299240445,3.6904303786067,234.044529726218,24.3195211561965,133.544613336684,62.7628820748821,133.544613336684,62.7628820748821
"Sludge C2",20.9194444444444,281.606304389135,28.1131925703911,326.589019579183,4.79358909710278,241.304644535989,23.9470842307424,147.678992848941,68.5435145791561,147.678992848941,68.5435145791561
"Sludge C2",30.96875,285.687245766744,29.1789839150284,338.351646270308,2.49589510489849,243.376504046982,25.1793208127487,152.325769980582,71.4820550733505,152.325769980582,71.4820550733505
"Sludge C2",50.8645833333333,289.020087563724,30.3114270558817,369.589537953434,2.57479938153664,246.198598470865,26.3385618765518,164.641578126013,77.857921926829,164.641578126013,77.857921926829
"Sludge C2",60.9166666666667,289.727535526028,32.0399390254033,384.3242754087,8.368003462679,246.665924893205,27.8432975904218,171.167766765408,81.0961662819715,171.167766765408,81.0961662819715
"Sludge C3",0,0,0,0,0,0,0,0,0,0,0
"Sludge C3",0.874305555555556,18.6490943863959,1.02569248508812,17.3325256236354,1.62171727422276,16.6185159276797,1.01698364722517,16.9118949994981,2.20824589528836,16.9118949994981,2.20824589528836
"Sludge C3",2.01388888888889,49.0467064588147,1.71579707047298,48.9841287355001,3.25852090486195,43.1867241401274,1.61953077486228,36.857212751376,2.61125459277993,36.857212751376,2.61125459277993
"Sludge C3",2.85,75.2564590274183,3.29616632620318,74.6292302206688,3.08047283393267,66.0317665465117,2.12556552609296,51.5212792913188,3.41321570332358,51.5212792913188,3.41321570332358
"Sludge C3",4.15138888888889,124.991389136153,2.66845989896953,124.623827184526,3.76256307594977,110.759064399734,1.89524376613308,73.5982701685747,3.92396824764799,73.5982701685747,3.92396824764799
"Sludge C3",5.14513888888889,167.283996371236,3.36936048153296,170.544914728956,3.45992170148185,148.195653833343,3.39961673021464,92.8648691638801,3.8777916829121,92.8648691638801,3.8777916829121
"Sludge C3",5.93194444444444,197.861255195648,7.31880051516668,203.135159298344,4.38423926300365,174.887651256303,7.24566254123364,105.868392202003,3.80248578662642,105.868392202003,3.80248578662642
"Sludge C3",7.13194444444444,215.10166682796,9.54902534523091,228.967378421044,2.32571627910483,189.825576290876,9.53484159924971,116.293625269529,4.29918394449012,116.293625269529,4.29918394449012
"Sludge C3",8.19375,225.761986764524,10.2657010898107,239.647218983922,2.44324170481275,198.850813087454,10.1853298885499,120.723029028319,4.58783313610862,120.723029028319,4.58783313610862
"Sludge C3",11.9569444444444,235.169760283503,12.9330398482826,260.838926590104,2.10191762081792,207.013513073578,12.9097712938648,130.07447059004,5.44155618135208,130.07447059004,5.44155618135208
"Sludge C3",20.9194444444444,241.130579592352,12.9208300446275,285.305842340734,4.56542586019162,212.259421724651,12.6521583963162,142.729960038082,7.12386409857208,142.729960038082,7.12386409857208
"Sludge C3",30.96875,248.39964975762,11.209851072923,298.921290249255,2.57919625521071,217.26637532611,11.6078680313136,149.460448837291,8.21628418604732,149.460448837291,8.21628418604732
"Sludge C3",50.8645833333333,252.812839349559,8.520746759908,321.429708311722,3.74802795756228,221.007216113757,9.6545860840698,160.762858899219,9.14764877191237,160.762858899219,9.14764877191237
"Sludge C3",60.9166666666667,256.58137999605,6.33948611776182,325.116077459115,5.93278252420584,224.280841047982,7.74705883541701,165.185088069227,11.590285975439,165.185088069227,11.590285975439
"Sludge C4",0,0,0,0,0,0,0,0,0,0,0
"Sludge C4",0.874305555555556,19.0756452081998,2.29906412722711,17.7329979355658,2.1261078788585,16.6757667832751,2.3148664620446,29.0807241269428,7.08276034192407,29.0807241269428,7.08276034192407
"Sludge C4",2.01388888888889,48.2212414513558,3.57927457646761,45.968985051546,4.46221934676406,42.0253834224497,3.08626554952449,59.5405321265271,12.7139517981239,59.5405321265271,12.7139517981239
"Sludge C4",2.85,74.788287410467,2.20997004149501,71.6185228479547,2.80757047338,64.6502246784757,3.13655298636795,83.7285267838697,18.4551302296182,83.7285267838697,18.4551302296182
"Sludge C4",4.15138888888889,123.397084145599,2.06409577717726,120.896543478302,2.94059562390247,107.314176289742,4.3603697660443,120.621547719792,27.0352464983955,120.621547719792,27.0352464983955
"Sludge C4",5.14513888888889,165.185277476754,2.62043469494007,164.335756906877,3.81191247133449,143.348457186555,7.53729412669957,151.268973687735,32.6180571755055,151.268973687735,32.6180571755055
"Sludge C4",5.93194444444444,200.148902892621,1.70254856742286,199.471966817282,5.59987030758543,173.037177260036,7.9039232371032,174.645486104684,37.9810691241526,174.645486104684,37.9810691241526
"Sludge C4",7.13194444444444,223.569397555375,2.03514776033589,221.216481594681,1.31594459277323,192.889658669426,7.74656398510397,189.479678092943,41.622985310078,189.479678092943,41.622985310078
"Sludge C4",9.11111111111111,240.549096782969,3.38495674134188,239.324802511067,3.08591146224351,207.089586407773,7.15921504101738,202.320718998943,44.2167628204522,202.320718998943,44.2167628204522
"Sludge C4",11.9569444444444,251.878618464044,4.89461102518316,252.992702773972,3.78224112945865,216.613439585374,6.31002721700189,212.684345591988,45.8405821660649,212.684345591988,45.8405821660649
"Sludge C4",16.1291666666667,263.150997721709,7.51661093816588,266.178898406418,4.26185561140149,226.1497297191,6.66180741178705,223.770870601745,48.3422165670752,223.770870601745,48.3422165670752
"Sludge C4",20.9194444444444,272.917525681644,10.8984815467188,278.106766838549,6.21207608527491,234.338728715735,7.5098831870495,234.72852409568,50.7861181322886,234.72852409568,50.7861181322886
"Sludge C4",30.96875,282.955955354332,17.2234871060746,292.903873307297,3.56674407742961,241.241710716748,12.3707854192403,247.700273061657,53.0654093660631,247.700273061657,53.0654093660631
"Sludge C4",41.8819444444444,289.238281366559,19.9820304950717,303.030276418139,2.12796748665397,246.458895520474,13.5892984854032,257.09984213839,57.4953734611935,257.09984213839,57.4953734611935
"Sludge C4",50.8645833333333,296.339187171096,21.4247830811671,313.007951782223,4.05084790856201,252.612281713137,14.6273088909735,265.492485312067,57.3239724508714,265.492485312067,57.3239724508714
"Sludge C4",60.9166666666667,300.136024768851,23.2948188916149,317.031573954193,2.69827880005039,255.811517981243,15.4101571181893,275.095911667403,60.1955314915784,275.095911667403,60.1955314915784
"Sludge C5",0,0,0,0,0,0,0,0,0,0,0
"Sludge C5",0.874305555555556,17.0384605079704,2.16587845103,15.1784610475404,1.76058469403881,14.7087479165491,2.01692145076977,17.5702427271361,3.62582517733371,17.5702427271361,3.62582517733371
"Sludge C5",2.01388888888889,45.6650765361424,2.7660644066347,43.8467926261548,3.8594856788033,40.7185047532594,2.66536965147618,35.4832045849638,7.68037494292061,35.4832045849638,7.68037494292061
"Sludge C5",2.85,73.5075278697953,3.20646894272366,72.5370682940837,5.15827825406252,65.3646795775696,2.93026417498595,51.3183919712497,10.8296876781488,51.3183919712497,10.8296876781488
"Sludge C5",4.15138888888889,121.033773215239,4.41471001334339,122.369684472093,4.88567683789636,107.736610316055,3.77585602852722,73.6463015084772,14.167589269717,73.6463015084772,14.167589269717
"Sludge C5",5.14513888888889,162.067874690541,3.20479380336582,164.613180662789,6.5982527891798,144.116891388548,2.54924982911147,92.0328763269098,18.6344450505018,92.0328763269098,18.6344450505018
"Sludge C5",5.93194444444444,196.620104145377,4.23846367689596,201.563701666156,7.31916777342725,174.10915957141,2.60548759375156,107.158954756829,22.0848400584928,107.158954756829,22.0848400584928
