"date","exper","id","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","time.d","mass.drift","mass.init.orig","mass.final.orig","temp.grav","pres.grav","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"05.10.2018","IIS-BMP2","L1","11.09",20.1,1009.23,466.22,145,466.05,NA,2014-10-05 11:09:00,7.81527777777956,2018-10-05 11:09:00,2018-09-27 15:35:00,7.81527777777778,0.0200000000000387,466.2,466.03,30,1500,0.180000000000007,1.70999999999998,0.170000000000016,0.00999999999999091,1.71000000000004,-5.6843418860808e-14,131.379382717335,1289.1887209947,0.509792487048781,"",66.9762222624039,657.218724351125,61.7852093771922,31.4976355512285
"08.10.2018","IIS-BMP2","L1","11.43",20.4,1007.72,466.05,91,465.94,NA,2014-10-08 11:43:00,10.8388888888876,2018-10-08 11:43:00,2018-09-27 15:35:00,10.8388888888889,0.0300000000000296,466.02,465.91,30,1500,0.109999999999957,1.81999999999994,0.109999999999957,0,1.81999999999999,-5.6843418860808e-14,82.2045434797917,1371.39326447449,0.509792487048781,"",41.9072586672727,699.125983018398,27.1875384958429,13.8600028665302
"11.10.2018","IIS-BMP2","L1","12.13",20.5,1009.19,465.93,60,465.87,NA,2014-10-11 12:24:00,13.8673611111153,2018-10-11 12:13:00,2018-09-27 15:35:00,13.8597222222222,0.0200000000000387,465.91,465.85,30,1500,0.0699999999999932,1.88999999999993,0.0600000000000023,0.00999999999999091,1.88,0.00999999999993406,54.2551046053194,1425.64836907981,0.509792487048781,"",27.6588447118376,726.784827730235,17.9603104900368,9.15603135288416
"15.10.2018","IIS-BMP2","L1","21.22",20.1,1006.09,465.86,52,465.81,NA,2014-10-15 21:22:00,18.2409722222219,2018-10-15 21:22:00,2018-09-27 15:35:00,18.2409722222222,0.0300000000000296,465.83,465.78,30,1500,0.0600000000000591,1.94999999999999,0.0500000000000114,0.0100000000000477,1.93000000000001,0.0199999999999818,46.9652811691381,1472.61365024895,0.509792487048781,"",23.9425474921602,750.727375222396,10.7196076848247,5.464775461834
"19.10.2018","IIS-BMP2","L1","10.48",20.5,1017.29,465.8,32,465.76,NA,2014-10-19 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,21.8006944444444,0.0200000000000387,465.78,465.74,30,1500,0.0499999999999545,1.99999999999994,0.0399999999999636,0.00999999999999091,1.96999999999997,0.0299999999999727,29.1739820064988,1501.78763225545,0.509792487048781,"",14.8726768442094,765.600052066605,8.19557824607068,4.17804421686726
"25.10.2018","IIS-BMP2","L1","14.08",20.6,997.15,465.72,26,465.69,NA,2014-10-25 14:08:00,27.9395833333328,2018-10-25 14:08:00,2018-09-27 15:35:00,27.9395833333333,0.0200000000000387,465.7,465.67,30,1500,0.0699999999999932,2.06999999999994,0.0299999999999727,0.0400000000000205,1.99999999999994,0.0699999999999932,23.211722475349,1524.9993547308,0.509792487048781,"",11.8331617293943,777.433213795999,3.78109506385776,1.92757385637192
"29.10.2018","IIS-BMP2","L1","09.46",20,1010.42,465.68,24,465.66,NA,2014-10-29 09:46:00,31.757638888892,2018-10-29 09:46:00,2018-09-27 15:35:00,31.7576388888889,0.0300000000000296,465.65,465.63,30,1500,0.0300000000000296,2.09999999999997,0.0199999999999818,0.0100000000000477,2.01999999999992,0.0800000000000409,21.7824454932722,1546.78180022407,0.509792487048781,"",11.1045270620197,788.537740858019,5.70511486182466,2.90842469430856
"27.09.2018","IIS-BMP2","L2","15.35",20.8,1007.24,468.51,0,468.505,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,468.51,468.505,30,1500,0,0,0.00499999999999545,0,0.00499999999999545,0,0,0,0.519498415769666,"",0,0,NA,NA
"28.09.2018","IIS-BMP2","L2","09.00",20.3,1011.22,468.52,61,468.44,NA,2014-09-28 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.725694444444444,0.0100000000000477,468.51,468.43,30,1500,0.0649999999999409,0.0649999999999409,0.0799999999999841,-0.0150000000000432,0.0849999999999795,-0.0150000000000432,55.327327382623,55.327327382623,0.519498415769666,"",28.7424589240423,28.7424589240423,76.2405276851456,39.6068333498765
"29.09.2018","IIS-BMP2","L2","06.05",19,1000,468.45,57,468.39,"Pressure not measured.",2014-09-29 06:05:00,1.60416666666424,2018-09-29 06:05:00,2018-09-27 15:35:00,1.60416666666667,0.0300000000000296,468.42,468.36,30,1500,0.0500000000000114,0.114999999999952,0.0600000000000023,-0.00999999999999091,0.144999999999982,-0.0250000000000341,51.4367294588465,106.76405684147,0.519498415769666,"",26.7212994662437,55.463758390286,58.5524825460387,30.4179219220481
