"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"I2","18112018",5.85902777777665,"0907",124,0,184.1819,184.1719,39.29,28.07,0.416716152019002,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.583283847980998,79.969,30,1137.25,1013.25,0.890965047263135,1013.25,0.873303167420814,30,0.567874358575649,8.43258531052642,4.91859080835189,83.5716381169362,41.7636079661546,8.45018987276134,4.92885926515429
"I2","19112018",6.8395833333343,"0839",112,0,184.1677,184.1714,41.56,28.73,0.408735239721155,"Marked yellow in original data file",2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.591264760278845,79.969,30,1125.25,1013.25,0.900466562986003,1013.25,0.890965047263135,30,0.583283847980998,7.63288653449203,4.51305682705205,91.2045246514282,46.2766647932067,7.78424689070008,4.60255087178113
"I2","21112018",8.91666666666424,"1030",196,0,184.1738,184.158,46.87,29.19,0.383775966342361,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.616224033657639,79.969,30,1209.25,1013.25,0.837916063675832,1013.25,0.900466562986003,30,0.591264760278845,13.6340060201039,8.40160218462094,104.838530671532,54.6782669778276,6.56401493445322,4.04490375989775
"I2","23112018",10.878472222219,"0935",169,0,184.1604,184.1466,49.45,28.91,0.368938233792751,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.631061766207249,79.969,30,1182.25,1013.25,0.857052230915627,1013.25,0.837916063675832,30,0.616224033657639,11.5248764818349,7.27290890794709,116.363407153367,61.9511758857747,5.87462730401493,3.70725268228099
"I2","25112018",13.125,"1530",180,0,184.1456,184.1328,50.79,29.55,0.367811799850635,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.632188200149365,79.969,30,1193.25,1013.25,0.849151477058454,1013.25,0.857052230915627,30,0.631061766207249,12.3649270513102,7.81696097754598,128.728334204677,69.7681368633207,5.50401698729108,3.47957459278708
"I2","28112018",15.8541666666642,"0900",175,0,184.1314,184.1175,52.55,30.04,0.363724421842838,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.636275578157162,79.969,30,1188.25,1013.25,0.852724594992636,1013.25,0.849151477058454,30,0.632188200149365,11.9855013040568,7.62608177174218,140.713835508734,77.3942186350629,4.39163406560861,2.79428950414981
"I2","01122018",18.909722222219,"1020",176,0,184.1158,184.1028,54.31,30.53,0.35985384252711,"Composition is marked red in original file",2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.64014615747289,79.969,30,1189.25,1013.25,0.852007567794829,1013.25,0.852724594992636,30,0.636275578157162,12.0674226019262,7.72491420922459,152.78125811066,85.1191328442875,3.94933830608495,2.52815374120077
"I2","05122018",22.8611111111095,"0910",172,0,184.0993,184.0869,56.57,31.26,0.355914835477627,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.644085164522373,79.969,30,1185.25,1013.25,0.854882936089433,1013.25,0.852007567794829,30,0.64014615747289,11.7808536903444,7.58787308735951,164.562111801005,92.707005931647,2.98144627664253,1.92030531560592
"I2","09122018",27.1458333333285,"1600",192,0,184.0863,184.072,58.22,31.44,0.350658041490074,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.649341958509926,79.969,30,1205.25,1013.25,0.840696950840075,1013.25,0.854882936089433,30,0.644085164522373,13.2115485476902,8.57881280890615,177.773660348695,101.285818740553,3.08340841307519,2.00218645783223
"I3","12112018",0,"1230",0,0,NA,183.2664,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,80.013,30,1013.25,1013.25,1,1013.25,1,20,0,-3.76370789597252,0,-3.76370789597252,0,NA,NA
